State,County,Population,MenPopulation,WomenPopulation,VotingAgeCitizen,Income,IncomePerCapita,PovertyRate,ChildPovertyRate,EmployedPopulation,UnemployedPopulation,EmploymentRate,UnemploymentRate
Alabama,Autauga County,55036,26899,28137,41016,55317,27824,13.7,20.1,24112,2133,58.8,5.2
Alabama,Baldwin County,203360,99527,103833,155376,52562,29364,11.8,16.1,89527,8546,57.6,5.5
Alabama,Barbour County,26201,13976,12225,20269,33368,17561,27.2,44.9,8878,2513,43.8,12.4
Alabama,Bibb County,22580,12251,10329,17662,43404,20911,15.2,26.6,8171,1448,46.3,8.2
Alabama,Blount County,57667,28490,29177,42513,47412,22021,15.6,25.4,21380,2083,50.3,4.9
Alabama,Bullock County,10478,5616,4862,8212,29655,20856,28.5,50.4,4290,994,52.2,12.1
Alabama,Butler County,20126,9416,10710,15459,36326,19004,24.4,34.8,7727,1175,50.0,7.6
Alabama,Calhoun County,115527,55593,59934,88383,43686,23638,18.6,26.6,47392,8927,53.6,10.1
Alabama,Chambers County,33895,16320,17575,26259,37342,22002,18.8,29.1,14527,1681,55.3,6.4
Alabama,Cherokee County,25855,12862,12993,20620,40041,23010,16.1,20.0,9879,1093,47.9,5.3
Alabama,Chilton County,43805,21554,22251,31776,43501,23368,19.4,27.8,17675,2129,55.6,6.7
Alabama,Choctaw County,13188,6277,6911,10454,32122,20994,22.3,32.8,4301,1024,41.1,9.8
Alabama,Clarke County,24625,11649,12976,19087,33827,20765,25.3,30.7,7933,2901,41.6,15.2
Alabama,Clay County,13407,6471,6936,10332,37287,21330,19.1,23.5,5509,661,53.3,6.4
Alabama,Cleburne County,14939,7367,7572,11329,37396,20873,19.1,31.0,5743,884,50.7,7.8
Alabama,Coffee County,51073,25225,25848,38026,49821,26216,16.1,26.3,21639,2282,56.9,6.0
Alabama,Colbert County,54435,26143,28292,42195,45477,23675,16.8,24.1,22180,2911,52.6,6.9
Alabama,Conecuh County,12649,6040,6609,9812,30434,16337,26.4,39.3,3945,1423,40.2,14.5
Alabama,Coosa County,10955,5474,5481,8989,34792,20342,14.4,17.9,3897,1016,43.4,11.3
Alabama,Covington County,37519,18133,19386,29164,39467,22431,17.6,25.0,14686,3121,50.4,10.7
Alabama,Crenshaw County,13866,6786,7080,10551,38937,21580,17.6,22.5,5700,675,54.0,6.4
Alabama,Cullman County,81703,40223,41480,62012,40997,21857,16.4,19.6,32072,3597,51.7,5.8
Alabama,Dale County,49393,24524,24869,37173,44711,23194,19.6,27.2,17988,3866,48.4,10.4
Alabama,Dallas County,40755,18809,21946,30303,30065,18248,31.9,49.5,14461,4152,47.7,13.7
Alabama,DeKalb County,71194,35328,35866,49579,38842,20020,21.5,31.0,28416,2529,57.3,5.1
Alabama,Elmore County,80989,39357,41632,61966,54981,26251,13.5,20.4,33054,4524,53.3,7.3
Alabama,Escambia County,37621,19326,18295,29129,35026,18164,23.8,33.3,12134,3991,41.7,13.7
Alabama,Etowah County,103132,49738,53394,78727,42064,22278,17.9,28.7,41412,5983,52.6,7.6
Alabama,Fayette County,16657,8191,8466,13044,36541,21191,18.1,25.0,6307,1096,48.4,8.4
Alabama,Franklin County,31507,15818,15689,21935,39501,19314,23.0,42.0,12534,1799,57.1,8.2
Alabama,Geneva County,26572,13008,13564,20489,39293,21084,22.5,37.6,10306,1824,50.3,8.9
Alabama,Greene County,8533,4058,4475,6533,20954,14197,38.8,67.8,2411,967,36.9,14.8
Alabama,Hale County,14995,7049,7946,11484,34679,20269,26.1,37.7,5252,1344,45.7,11.7
Alabama,Henry County,17110,8208,8902,13377,45569,23983,13.7,17.2,6949,896,51.9,6.7
